"","region_un","subregion","usd.comm.subregion.cadc","usd.disb.subregion.cadc","perc.comm","perc.disb","cum.perc.comm","cum.perc.disb","usd.comm.region.cadc","usd.disb.region.cadc","cum.invest.comm_usd.regions","cum.invest.disb.usd.regions","perc.comm.regions","perc.disb.regions","cum.perc.comm.regions","cum.perc.disb.regions"
"1","Asia","Eastern Asia",757.98,1120.01,2.32,5.25,39.56,45.02,17939.26,10954.76,17939.26,10954.76,12.86,12.27,12.86,12.27
"2","Asia","South-Eastern Asia",7216.29,3940.11,22.12,18.47,61.68,63.49,17939.26,10954.76,17939.26,10954.76,12.86,12.27,12.86,12.27
"3","Asia","Southern Asia",4725.59,2404.78,14.49,11.28,76.17,74.77,17939.26,10954.76,17939.26,10954.76,12.86,12.27,12.86,12.27
"4","Asia","Western Asia",5239.4,3489.86,16.06,16.36,92.23,91.13,17939.26,10954.76,17939.26,10954.76,12.86,12.27,12.86,12.27
"5","Africa","Eastern Africa",3061.34,2051.91,9.39,9.62,9.39,9.62,9084.82,6021.78,27024.08,16976.54,19.38,19.02,32.24,31.29
"6","Africa","Middle Africa",561.81,575.82,1.72,2.7,11.11,12.32,9084.82,6021.78,27024.08,16976.54,19.38,19.02,32.24,31.29
"7","Africa","Northern Africa",2824.97,2029.77,8.66,9.52,19.77,21.84,9084.82,6021.78,27024.08,16976.54,19.38,19.02,32.24,31.29
"8","Africa","Southern Africa",245.9,195.49,0.75,0.92,20.52,22.76,9084.82,6021.78,27024.08,16976.54,19.38,19.02,32.24,31.29
"9","Africa","Western Africa",2390.8,1168.79,7.33,5.48,27.85,28.24,9084.82,6021.78,27024.08,16976.54,19.38,19.02,32.24,31.29
"10","Americas","Caribbean",557.07,392.65,1.71,1.84,29.56,30.08,3063.25,2459.57,30087.33,19436.11,21.57,21.77,53.81,53.06
"11","Americas","Central America",1177.03,834.92,3.61,3.91,33.17,33.99,3063.25,2459.57,30087.33,19436.11,21.57,21.77,53.81,53.06
"12","Americas","South America",1329.15,1232,4.07,5.78,37.24,39.77,3063.25,2459.57,30087.33,19436.11,21.57,21.77,53.81,53.06
"13","Oceania","Melanesia",780.44,625.58,2.39,2.93,97.16,97.63,1704.21,1131.26,31791.54,20567.37,22.8,23.04,76.61,76.1
"14","Oceania","Micronesia",419.73,219.29,1.29,1.03,98.45,98.66,1704.21,1131.26,31791.54,20567.37,22.8,23.04,76.61,76.1
"15","Oceania","Polynesia",504.04,286.39,1.55,1.34,100,100,1704.21,1131.26,31791.54,20567.37,22.8,23.04,76.61,76.1
"16","Europe","Eastern Europe",49.11,58.7,0.15,0.28,92.38,91.41,827.71,760.54,32619.25,21327.91,23.39,23.89,100,99.99
"17","Europe","Southern Europe",778.6,701.84,2.39,3.29,94.77,94.7,827.71,760.54,32619.25,21327.91,23.39,23.89,100,99.99
